text,label
Could you please summarize this email thread for me?,SummaryRequest
I need a quick summary of the attached document.,SummaryRequest
Please give me a short summary of the meeting notes.,SummaryRequest
Can you summarize what was discussed in the last call?,SummaryRequest
Provide a summary of the report attached.,SummaryRequest
"I don’t have time to read this, can you just summarize it?",SummaryRequest
Summarize the key points from this article.,SummaryRequest
Can I get a summary of yesterday’s presentation?,SummaryRequest
Summarize this PDF into bullet points.,SummaryRequest
Please extract and summarize the main ideas from this email.,SummaryRequest
Give me a one-liner summary of this message.,SummaryRequest
What are the takeaways from this thread?,SummaryRequest
Can you give a TL;DR of the email chain?,SummaryRequest
"I just received a long email, can you break it down?",SummaryRequest
"Quick summary of this Slack conversation, please.",SummaryRequest
What's the gist of this report?,SummaryRequest
Boil down this document into a few lines.,SummaryRequest
Need a summary of this discussion.,SummaryRequest
Give me a high-level overview of this.,SummaryRequest
Please condense the content of this email.,SummaryRequest
Could you draft a short summary of this message?,SummaryRequest
Create a brief summary from this article.,SummaryRequest
Summarize the conversation we had over email.,SummaryRequest
I need the main highlights from this report.,SummaryRequest
What are the key points from this communication?,SummaryRequest
Can you reduce this to a short version?,SummaryRequest
Provide a summarized version of this long email.,SummaryRequest
Help me understand this in a few bullet points.,SummaryRequest
Give me a short breakdown of this information.,SummaryRequest
Please highlight the most important parts of this.,SummaryRequest
I want a summarized briefing of this note.,SummaryRequest
Give a concise recap of this conversation.,SummaryRequest
"I don’t need the details, just the summary please.",SummaryRequest
Can you help by giving a short version of this email?,SummaryRequest
Extract key insights from this attachment.,SummaryRequest
Break down this document for me.,SummaryRequest
Give me the core message from this thread.,SummaryRequest
Summarize the following forwarded message.,SummaryRequest
I'd like a quick digest of this content.,SummaryRequest
Make a summary of this newsletter.,SummaryRequest
Can you provide a short recap of this event?,SummaryRequest
Help me get the crux of this lengthy email.,SummaryRequest
"Bullet point summary of this article, please.",SummaryRequest
Write a summary paragraph for this.,SummaryRequest
Can you summarize the feedback from this email chain?,SummaryRequest
I need a quick look at the contents here.,SummaryRequest
What are the essential parts of this message?,SummaryRequest
Give me a TL;DR of this attachment.,SummaryRequest
Send me a summarized version of this memo.,SummaryRequest
Review and summarize this long communication.,SummaryRequest
Could you quickly summarize the key points from this message?,SummaryRequest
"I don’t have time to read the full email, can you give me a summary?",SummaryRequest
Summarize the content of this email for me.,SummaryRequest
Give me a TL;DR of this message.,SummaryRequest
What’s the main idea of this email?,SummaryRequest
Can you condense this email into a few lines?,SummaryRequest
I just want a brief of what this email says.,SummaryRequest
Highlight only the important parts of this mail.,SummaryRequest
Provide a short summary of the message below.,SummaryRequest
Summarize the email in two sentences.,SummaryRequest
I need a quick overview of this conversation.,SummaryRequest
Extract the main points from this email.,SummaryRequest
What is this person trying to say in short?,SummaryRequest
Give me the gist of this email.,SummaryRequest
Can you tell me the takeaway from this email?,SummaryRequest
Help me understand this email faster – summarize it.,SummaryRequest
Generate a summary of this email’s contents.,SummaryRequest
Provide a brief explanation of what this email is about.,SummaryRequest
Just tell me what this email is about.,SummaryRequest
What's the summary of this email chain?,SummaryRequest
Can I get a summary of the email thread?,SummaryRequest
Give me the main highlights of this message.,SummaryRequest
Provide me with a concise version of this email.,SummaryRequest
Extract the core message from this email.,SummaryRequest
Summarize this long message into a short paragraph.,SummaryRequest
Could you summarize this for a meeting update?,SummaryRequest
I need a summarized version to forward to my team.,SummaryRequest
This email is too long; what’s the short version?,SummaryRequest
Quick summary please — what’s this about?,SummaryRequest
Boil down this email to its essentials.,SummaryRequest
What’s the most important point here?,SummaryRequest
Just a summary of the action items would be great.,SummaryRequest
Turn this email into a bullet-point summary.,SummaryRequest
Can you paraphrase this into a short brief?,SummaryRequest
Draft a quick summary I can send to my manager.,SummaryRequest
Make this email easier to understand.,SummaryRequest
Help me summarize this for a report.,SummaryRequest
I need a summary of the attached email.,SummaryRequest
Rephrase this email into a short recap.,SummaryRequest
What’s the email saying in simple terms?,SummaryRequest
Please write a one-line summary of this.,SummaryRequest
Extract the subject and summarize the body.,SummaryRequest
"Too much text, summarize it please.",SummaryRequest
Make this email more digestible — summary only.,SummaryRequest
Skip the fluff — what’s the email about?,SummaryRequest
"Can I have a short, sharp summary?",SummaryRequest
Condense this into 3 bullet points.,SummaryRequest
"I’m too busy to read it, summarize?",SummaryRequest
Give me just the core message.,SummaryRequest
Quickly tell me what this email is trying to say.,SummaryRequest
What is the crux of this email?,SummaryRequest
Can you tell me more about the pricing?,InfoRequest
I need details on the onboarding process.,InfoRequest
Could you share the deadline for submission?,InfoRequest
What are the prerequisites for this course?,InfoRequest
Please provide information about the company’s benefits.,InfoRequest
When does the event start?,InfoRequest
I’d like to know more about your services.,InfoRequest
Can you send me the documentation?,InfoRequest
What's included in the package?,InfoRequest
Do you have any case studies I can read?,InfoRequest
Who should I contact for support?,InfoRequest
Can I get the specifications for the new product?,InfoRequest
Please tell me more about the refund policy.,InfoRequest
What is the expected delivery time?,InfoRequest
Can you clarify the payment terms?,InfoRequest
Where can I find the project files?,InfoRequest
I need the full itinerary for the trip.,InfoRequest
How does the subscription model work?,InfoRequest
What’s the pricing breakdown?,InfoRequest
Can you give more insight into your approach?,InfoRequest
Could you explain the next steps?,InfoRequest
I’m looking for the schedule of sessions.,InfoRequest
Who’s the point of contact for this project?,InfoRequest
What are the limitations of this tool?,InfoRequest
Please let me know the requirements.,InfoRequest
How do I access the dashboard?,InfoRequest
What’s the process to request a demo?,InfoRequest
Could you send me the slide deck?,InfoRequest
Can I get the timeline for this initiative?,InfoRequest
What’s the expected output from our end?,InfoRequest
I’d like to request further details.,InfoRequest
Can I receive the login credentials?,InfoRequest
Where is the training material stored?,InfoRequest
What format should the report be in?,InfoRequest
Can you describe the role responsibilities?,InfoRequest
When will the next update be available?,InfoRequest
Please send over the list of deliverables.,InfoRequest
What’s the average response time for support?,InfoRequest
How do I enroll in the program?,InfoRequest
Can you confirm the address for the event?,InfoRequest
I need help understanding the usage metrics.,InfoRequest
Please explain the account setup process.,InfoRequest
Can you give a breakdown of your fees?,InfoRequest
What documents do I need to bring?,InfoRequest
Where can I submit my application?,InfoRequest
Do you have a sample report?,InfoRequest
Can I get access to the beta version?,InfoRequest
Please confirm if this is the right procedure.,InfoRequest
What’s the difference between the plans?,InfoRequest
How should we prepare for the kickoff meeting?,InfoRequest
Can you provide more details about the event mentioned?,InfoRequest
I need additional information regarding the policy update.,InfoRequest
What does this term in the contract mean?,InfoRequest
Could you share more about the requirements listed?,InfoRequest
Please send me the documentation for this process.,InfoRequest
I'm looking for details about the training session.,InfoRequest
Can I get the specs for the new product?,InfoRequest
Where can I find more information about this topic?,InfoRequest
Who should I contact for further clarification?,InfoRequest
Can you tell me when this feature will be available?,InfoRequest
Please share the official guidelines.,InfoRequest
Could you explain how this workflow operates?,InfoRequest
I’d like to understand the next steps.,InfoRequest
Can you break this down for me?,InfoRequest
What does the budget include?,InfoRequest
I need to know more about your services.,InfoRequest
Where can I read about the project scope?,InfoRequest
Kindly send me the pricing breakdown.,InfoRequest
Can I have a list of deliverables?,InfoRequest
Could you clarify what’s required on our end?,InfoRequest
Do we have any documentation on this tool?,InfoRequest
Please explain what this abbreviation stands for.,InfoRequest
What’s the expected timeline for this task?,InfoRequest
How does this new policy impact us?,InfoRequest
Can I get more context on the attached report?,InfoRequest
I need further insights into this issue.,InfoRequest
Can you elaborate on the changes made?,InfoRequest
What resources do I need to get started?,InfoRequest
Could you walk me through the process?,InfoRequest
Are there any FAQs I can refer to?,InfoRequest
Where is the link to the signup page?,InfoRequest
Please provide the checklist.,InfoRequest
Can I access the previous reports?,InfoRequest
What’s the logic behind this update?,InfoRequest
Could you send over the latest figures?,InfoRequest
What are the expected deliverables from our side?,InfoRequest
How will this affect our department?,InfoRequest
Is there a file attached with more info?,InfoRequest
Please explain the reasoning for this change.,InfoRequest
Are there any examples you can share?,InfoRequest
What does this alert signify?,InfoRequest
Can someone clarify the email I received earlier?,InfoRequest
Do we have a guide on this?,InfoRequest
What’s included in the new onboarding process?,InfoRequest
Can I request the full dataset?,InfoRequest
Kindly forward the webinar details.,InfoRequest
Could you provide the slide deck?,InfoRequest
I need clarification on the KPIs mentioned.,InfoRequest
Is there any documentation on this feature?,InfoRequest
What are the prerequisites for this course?,InfoRequest
Find recent articles about AI in healthcare.,WebSearch
Search for the latest Python tutorials.,WebSearch
Can you look up the weather forecast for tomorrow?,WebSearch
Find me news about the Apple product launch.,WebSearch
Search for top restaurants near me.,WebSearch
Look up the definition of 'neural networks'.,WebSearch
Find reviews for the new Tesla model.,WebSearch
Search for remote internships in data science.,WebSearch
Look up recent studies on climate change.,WebSearch
Search for job openings at Google.,WebSearch
Find trending research in quantum computing.,WebSearch
Search for the best budget laptops under 50000.,WebSearch
Find tips to improve email productivity.,WebSearch
Search how to integrate Slack with Google Calendar.,WebSearch
Look up tutorials on FastAPI.,WebSearch
Search for upcoming tech conferences in India.,WebSearch
Find the latest stock price of Microsoft.,WebSearch
Search for healthy meal prep recipes.,WebSearch
Look up TensorFlow vs PyTorch comparison.,WebSearch
Search how to create a portfolio website.,WebSearch
Find a beginner guide to machine learning.,WebSearch
Search for freelance platforms for developers.,WebSearch
Look up symptoms of vitamin D deficiency.,WebSearch
Search best books to learn deep learning.,WebSearch
Find trending topics on Twitter.,WebSearch
Look up cheapest flights to Delhi this weekend.,WebSearch
Search for top-rated productivity apps.,WebSearch
Find online courses on MLOps.,WebSearch
Search for YouTube videos about ResNet architecture.,WebSearch
Look up historical data on Bitcoin.,WebSearch
Find the schedule for the Indian Premier League.,WebSearch
Search for the latest Android update release.,WebSearch
Look up best practices for writing research papers.,WebSearch
Find open-source datasets for NLP.,WebSearch
Search for startups working in generative AI.,WebSearch
Look up public holidays in 2025.,WebSearch
Search for benefits of meditation.,WebSearch
Find study material for GATE CSE.,WebSearch
Search how to convert a TensorFlow model to ONNX.,WebSearch
Find resume tips for freshers.,WebSearch
Search for cafes with Wi-Fi near my location.,WebSearch
Look up the movie reviews for 'Oppenheimer'.,WebSearch
Find trending Kaggle competitions.,WebSearch
Search for scholarships for Indian students abroad.,WebSearch
